name,description,ratings,number of lectures,difficulty,average rating,price,category
Lyricology: Perfect Song Structure and Beat Selection!,"Simple techniques for counting bars, song structure and beat selection for aspiring hip hop artists.",1076,,All Levels,4.6,11.99,Music
The Complete Piano & Music Theory Beginners Course,"Learn all piano and music theory basics fast, and save big on months of initial private lessons. Finally learn keyboard!",1036,25,All Levels,4.5,11.99,Music
Music Theory for Electronic Musicians,"Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",1021,39,Beginner,4.6,11.99,Music
Modern Rock Guitar Techniques,"From sweep picking to legato to whammy tricks and everything in between, create your own legacy with these techniques!",901,32,Intermediate,4.7,99.99,Music
"Jazz Guitar Tips, Tricks and Licks",Learn the most important techniques and methods of jazz guitar!,874,,Intermediate,4.5,99.99,Music
Music Production in Ableton Live 9 - The Complete Course!,"Join Successful students in Music Production in Ableton Live 9 for Creating, Recording and Performing Music in Ableton",795,103,All Levels,4.4,11.99,Music
Song Science #1: How Pros Use 6 Chords to Write Hit Songs,Practical songwriting theory for songwriters. Break out of your songwriting habits and develop new chord progressions.,739,16,All Levels,4.4,11.99,Music
The Complete Piano Course - Master The Piano,A full guide on learning how to use every single note on the piano.,690,240,All Levels,4.3,11.99,Music
"How to DJ - Professional DJ School, I Worked at Armada Music","Learn how to DJ with 11 hours of high-quality content. Former students on: Armada, Spinnin, Ultra, Revealed, & more!",656,,All Levels,4.6,11.99,Music
Millionaire DJ: FL Studio 12 - Pro Music Production Course,"Forget about $10,000 Music Production Colleges, learn electronic music here!",634,34,All Levels,3.6,11.99,Music
The Professional Bass Masterclass,"Learn the professional techniques, tools, and methods to master bass guitar from beginner to advanced player",622,,All Levels,4.4,11.99,Music
The Best Beginner Guitar Course Ever,"There are millions of beginner guitar courses, guides and lessons. This is the best one.",596,16,Beginner,4.2,99.99,Music
Music Production I - Learn to be a Music Producer!,Learn how to become a recording/music production engineer with little to no knowledge! Record music like a pro!,572,122,All Levels,4.6,11.99,Music
"Massive Tutorial: Master ""Massive"" in One Week",Learn the principles of sound design and synthesis by mastering the most powerful and robust VST on the planet: MASSIVE,570,,All Levels,4.6,11.99,Music
"Music Theory Comprehensive Combined: Part 4, 5, & 6","Learn music theory through this music theory course app, music theory exercises, and music theory tutorials.",569,139,Intermediate,4.7,11.99,Music
Music Composition 1,Learn how to compose well-written rhythms and melodies,509,,Beginner,4.6,11.99,Music
